id;title;about;price;image_url
1;interface violet Internal;../fake-data/blob/hipster.txt;70518;Fundamental
2;Auto Loan Account;../fake-data/blob/hipster.txt;23112;Hat back up
3;Washington Principal;../fake-data/blob/hipster.txt;68826;Computers
4;withdrawal;../fake-data/blob/hipster.txt;23064;Electronics International hardware
5;Circle;../fake-data/blob/hipster.txt;25635;tan navigating Infrastructure
6;microchip;../fake-data/blob/hipster.txt;82016;Shoes connect
7;Gloves;../fake-data/blob/hipster.txt;66929;primary
8;Gorgeous COM;../fake-data/blob/hipster.txt;84941;olive
9;Frozen Practical Wooden Sausages;../fake-data/blob/hipster.txt;93707;HTTP
10;drive Graphical User Interface;../fake-data/blob/hipster.txt;57751;exploit orange
