id;order_number;question;answer;active
1;82118;Licensed Bike Reactive;Director Manors;true
2;8099;Supervisor;ROI calculating;true
3;79761;National;Aruban Guilder users;true
4;90825;GB Planner;Shoes scalable Jordanian Dinar;true
5;85386;District;hard drive Producer;false
6;99398;parse intuitive;cross-platform;true
7;14389;protocol Berkshire;multi-byte systems Soft;true
8;63823;payment Paradigm;Metal Berkshire;false
9;1046;withdrawal;Bacon neural;false
10;77750;Home Loan Account Tennessee;Overpass payment eco-centric;true
