id;title;about;file_url;created_date;is_showing
1;Forward optimal Handmade Rubber Car;../fake-data/blob/hipster.txt;capacity;2020-12-28;true
2;Gloves Practical;../fake-data/blob/hipster.txt;navigate;2020-12-27;true
3;RAM;../fake-data/blob/hipster.txt;projection grey Gorgeous Granite Table;2020-12-28;true
4;Movies;../fake-data/blob/hipster.txt;HDD Connecticut indigo;2020-12-27;false
5;Ports Ergonomic Dominica;../fake-data/blob/hipster.txt;Agent;2020-12-27;true
6;silver CSS Future;../fake-data/blob/hipster.txt;grey;2020-12-28;false
7;application ROI;../fake-data/blob/hipster.txt;Naira grey;2020-12-27;true
8;RSS quantify;../fake-data/blob/hipster.txt;Metal;2020-12-27;true
9;Iowa;../fake-data/blob/hipster.txt;Bedfordshire;2020-12-27;true
10;generating;../fake-data/blob/hipster.txt;hard drive Concrete;2020-12-27;true
